"gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","contrast"
"SMCO4","T cell-CD4mem-Th22",0.919065182742752,11.454566346292,4.03627906192936,0.180885982115867,0.607835896329442,1,"group_idcSLE-group_idcHD"
"PRDM1","T cell-CD4mem-Th22",0.522254113037926,11.6281027483308,0.450679913395857,0.502023646269174,0.779855910779785,1,"group_idcSLE-group_idcHD"
"POU2F2","T cell-CD4mem-Th22",-1.23504968435455,11.5568977929243,2.97086105345452,0.12879466925217,0.607835896329442,1,"group_idcSLE-group_idcHD"
"ICAM1","T cell-CD4mem-Th22",0.874321822597146,11.4474363732171,4.14064134052189,0.180885977620392,0.607835896329442,1,"group_idcSLE-group_idcHD"
"CARD16","T cell-CD4mem-Th22",0.826632302298866,11.6627924735684,1.12192240177506,0.289523687763598,0.630493077424658,1,"group_idcSLE-group_idcHD"
"PGD","T cell-CD4mem-Th22",0.874321822597146,11.4474363732171,4.14064134052189,0.180885977620392,0.607835896329442,1,"group_idcSLE-group_idcHD"
"SDF2L1","T cell-CD4mem-Th22",-0.0540083439258248,11.6290906678384,0.00481930421163729,0.94465536761019,0.988228032167856,1,"group_idcSLE-group_idcHD"
"PRAM1","T cell-CD4mem-Th22",-1.37811980974368,11.4560617911865,9.01935088298818,0.043460491317073,0.524300061567555,1,"group_idcSLE-group_idcHD"
"TXNDC11","T cell-CD4mem-Th22",-0.527221647480399,11.5566408601466,0.554631302953956,0.486687862755833,0.764410060247894,1,"group_idcSLE-group_idcHD"
"IRS2","T cell-CD4mem-Th22",-0.927836480532468,11.5520162809442,1.60856751604735,0.278105714159233,0.630493077424658,1,"group_idcSLE-group_idcHD"
"APP","T cell-CD4mem-Th22",0.986636650755125,11.4666790999127,3.85027085440541,0.180885993734121,0.607835896329442,1,"group_idcSLE-group_idcHD"
"RASGEF1B","T cell-CD4mem-Th22",1.18527131219614,11.471820051986,5.08575626156026,0.101265684078705,0.607835896329442,1,"group_idcSLE-group_idcHD"
"SNX10","T cell-CD4mem-Th22",1.5378412287621,11.5159711802338,5.44633565700807,0.0584558425092921,0.551500839155722,1,"group_idcSLE-group_idcHD"
"SEMA4A","T cell-CD4mem-Th22",-1.39218326677906,11.4568874074508,9.04232870445753,0.043460491186673,0.524300061567555,1,"group_idcSLE-group_idcHD"
"GABARAP","T cell-CD4mem-Th22",0.0728691968543167,11.5616442641036,0.0126897033300532,0.910310827822578,0.98766682355221,1,"group_idcSLE-group_idcHD"
"IFI44","T cell-CD4mem-Th22",2.56919239071984,11.6722015735419,9.22379816823977,0.00277217561367305,0.261970595492103,1,"group_idcSLE-group_idcHD"
"B4GALT1","T cell-CD4mem-Th22",-0.841891879697497,11.5880081555341,1.3351193906861,0.257974214245569,0.630493077424658,1,"group_idcSLE-group_idcHD"
"TRAT1","T cell-CD4mem-Th22",-0.346280617250572,12.0927007391164,0.350322800432619,0.553940290319224,0.827826113715818,1,"group_idcSLE-group_idcHD"
"OAS3","T cell-CD4mem-Th22",1.27417873375619,11.4870124778072,4.86614521778673,0.101265687677186,0.607835896329442,1,"group_idcSLE-group_idcHD"
"AHNAK","T cell-CD4mem-Th22",-1.28077883906685,12.0768029934894,4.97910899357699,0.0256714162344034,0.524300061567555,1,"group_idcSLE-group_idcHD"
"USP18","T cell-CD4mem-Th22",-0.33084890248265,11.4640533556028,0.350129634359754,0.687980642195195,0.863020069167718,1,"group_idcSLE-group_idcHD"
"MT-ND1","T cell-CD4mem-Th22",-0.822638233482086,13.8593194664722,4.62366207243208,0.0315514090859683,0.524300061567555,1,"group_idcSLE-group_idcHD"
"CRIP2","T cell-CD4mem-Th22",-0.189484590832786,11.9119522479531,0.104180442663185,0.746874428944011,0.908750646376082,1,"group_idcSLE-group_idcHD"
"RPS26","T cell-CD4mem-Th22",-0.900803509255546,14.4967373438321,6.7902712328364,0.00917557957443817,0.472959419882404,1,"group_idcSLE-group_idcHD"
"GADD45A","T cell-CD4mem-Th22",1.79644077555939,11.5497251437919,5.99303686175948,0.0343775310848882,0.524300061567555,1,"group_idcSLE-group_idcHD"
"CHI3L2","T cell-CD4mem-Th22",0.593490023862784,11.4420184459944,2.37956104670772,0.344081884338464,0.630493077424658,1,"group_idcSLE-group_idcHD"
"NELL2","T cell-CD4mem-Th22",0.58162321617352,11.4393271437676,2.41363591780527,0.344081865346071,0.630493077424658,1,"group_idcSLE-group_idcHD"
"PSME2","T cell-CD4mem-Th22",0.0146271126163635,12.2498794291498,0.000860225556355027,0.976602148137109,0.991359207593777,1,"group_idcSLE-group_idcHD"
"NPDC1","T cell-CD4mem-Th22",-0.322635689555387,11.8163724831853,0.232280553518529,0.664777940642598,0.863020069167718,1,"group_idcSLE-group_idcHD"
"ODF3B","T cell-CD4mem-Th22",1.32537076253392,11.4983249792354,4.68602294483805,0.101265693529341,0.607835896329442,1,"group_idcSLE-group_idcHD"
"ABHD5","T cell-CD4mem-Th22",0.0954429839079652,11.4722155327263,0.0226458992813067,0.920542264148269,0.98766682355221,1,"group_idcSLE-group_idcHD"
"DDIT4","T cell-CD4mem-Th22",0.353019202991568,12.3975094783526,0.423384335139668,0.515264125263607,0.791747314429445,1,"group_idcSLE-group_idcHD"
"SOCS2","T cell-CD4mem-Th22",0.683087533337686,11.5389076541661,0.848355394469802,0.432782930459627,0.713337017610284,1,"group_idcSLE-group_idcHD"
"CECR1","T cell-CD4mem-Th22",-0.815847251894696,11.4289511927786,5.65459521230945,0.15334089946094,0.607835896329442,1,"group_idcSLE-group_idcHD"
"CCR7","T cell-CD4mem-Th22",-1.91874115689696,11.560822938813,7.17140481748387,0.0171403641764791,0.511504552003349,1,"group_idcSLE-group_idcHD"
"SAP30","T cell-CD4mem-Th22",0.570306138497777,11.4370318049045,2.4410198559345,0.344081853693875,0.630493077424658,1,"group_idcSLE-group_idcHD"
"ARL4A","T cell-CD4mem-Th22",0.428623308834514,11.6562667662425,0.288385486732665,0.684607002361906,0.863020069167718,1,"group_idcSLE-group_idcHD"
"HERPUD1","T cell-CD4mem-Th22",-0.127880027633546,12.1587544248802,0.043397689328436,0.834981359207767,0.982229109275527,1,"group_idcSLE-group_idcHD"
"ISG20","T cell-CD4mem-Th22",-0.0446867375783778,12.226786365109,0.00606524153178369,0.937924923794687,0.988228032167856,1,"group_idcSLE-group_idcHD"
"CD59","T cell-CD4mem-Th22",0.164088713249259,11.4840662306966,0.0418524745576328,0.920542289143585,0.98766682355221,1,"group_idcSLE-group_idcHD"
"PSMA4","T cell-CD4mem-Th22",-0.675925207650949,11.7541823671635,0.960042602364264,0.327193563182465,0.630493077424658,1,"group_idcSLE-group_idcHD"
"BIRC3","T cell-CD4mem-Th22",0.530182573059949,12.2114100064019,0.809583025808666,0.368259479632119,0.665501149870936,1,"group_idcSLE-group_idcHD"
